1 0,883 path: 1 
259 0,000823182048000003 path: 1 2 1 0 
260 0,000427231482912002 path: 1 2 1 0 1 
261 6,75025743000963E-05 path: 1 2 1 0 1 1 
262 0,000196526482139521 path: 1 2 1 0 1 0 
263 0,000163202426472385 path: 1 2 1 0 1 2 
264 2,05795512000001E-05 path: 1 2 1 0 0 
265 3,25156908960001E-06 path: 1 2 1 0 0 1 
266 9,46659355200004E-06 path: 1 2 1 0 0 0 
267 7,86138855840003E-06 path: 1 2 1 0 0 2 
268 0,000375371013888001 path: 1 2 1 0 2 
269 5,93086201943042E-05 path: 1 2 1 0 2 1 
270 0,000172670666388481 path: 1 2 1 0 2 0 
271 0,000143391727305216 path: 1 2 1 0 2 2 
272 0,00253814464800001 path: 1 2 1 2 
273 0,001317297072312 path: 1 2 1 2 1 
274 0,000208132937425297 path: 1 2 1 2 1 1 
275 0,000605956653263522 path: 1 2 1 2 1 0 
276 0,000503207481623186 path: 1 2 1 2 1 2 
277 6,34536162000002E-05 path: 1 2 1 2 0 
278 1,00256713596E-05 path: 1 2 1 2 0 1 
279 2,91886634520001E-05 path: 1 2 1 2 0 0 
280 2,42392813884001E-05 path: 1 2 1 2 0 2 
281 0,001157393959488 path: 1 2 1 2 2 
282 0,000182868245599105 path: 1 2 1 2 2 1 
283 0,000532401221364482 path: 1 2 1 2 2 0 
284 0,000442124492524417 path: 1 2 1 2 2 2 
285 0,001400438 path: 1 2 0 
286 0,000782844842000003 path: 1 2 0 1 
287 0,000406296472998001 path: 1 2 0 1 1 
288 6,41948427336842E-05 path: 1 2 0 1 1 1 
289 0,000186896377579081 path: 1 2 0 1 1 0 
290 0,000155205252685237 path: 1 2 0 1 1 2 
291 1,95711210500001E-05 path: 1 2 0 1 0 
292 3,09223712590001E-06 path: 1 2 0 1 0 1 
293 9,00271568300003E-06 path: 1 2 0 1 0 0 
294 7,47616824110003E-06 path: 1 2 0 1 0 2 
295 0,000356977247952001 path: 1 2 0 1 2 
296 5,64024051764162E-05 path: 1 2 0 1 2 1 
297 0,000164209534057921 path: 1 2 0 1 2 0 
298 0,000136365308717664 path: 1 2 0 1 2 2 
299 0,000151247304000001 path: 1 2 0 0 
300 7,84973507760003E-05 path: 1 2 0 0 1 
301 1,2402581422608E-05 path: 1 2 0 0 1 1 
302 3,61087813569601E-05 path: 1 2 0 0 1 0 
303 2,99859879964321E-05 path: 1 2 0 0 1 2 
304 3,78118260000001E-06 path: 1 2 0 0 0 
305 5,97426850800002E-07 path: 1 2 0 0 0 1 
306 1,73934399600001E-06 path: 1 2 0 0 0 0 
307 1,44441175320001E-06 path: 1 2 0 0 0 2 
308 6,89687706240002E-05 path: 1 2 0 0 2 
309 1,0897065758592E-05 path: 1 2 0 0 2 1 
310 3,17256344870401E-05 path: 1 2 0 0 2 0 
311 2,63460703783681E-05 path: 1 2 0 0 2 2 
312 0,000466345854000002 path: 1 2 0 2 
313 0,000242033498226001 path: 1 2 0 2 1 
314 3,82412927197081E-05 path: 1 2 0 2 1 1 
315 0,00011133540918396 path: 1 2 0 2 1 0 
316 9,24567963223323E-05 path: 1 2 0 2 1 2 
317 1,165864635E-05 path: 1 2 0 2 0 
318 1,84206612330001E-06 path: 1 2 0 2 0 1 
319 5,36297732100002E-06 path: 1 2 0 2 0 0 
320 4,45360290570002E-06 path: 1 2 0 2 0 2 
321 0,000212653709424001 path: 1 2 0 2 2 
322 3,35992860889921E-05 path: 1 2 0 2 2 1 
323 9,78207063350403E-05 path: 1 2 0 2 2 0 
324 8,12337169999683E-05 path: 1 2 0 2 2 2 
325 0,00245650600000001 path: 1 2 2 
326 0,001373186854 path: 1 2 2 1 
327 0,000712683977226003 path: 1 2 2 1 1 
328 0,000112604068401708 path: 1 2 2 1 1 1 
329 0,000327834629523961 path: 1 2 2 1 1 0 
330 0,000272245279300333 path: 1 2 2 1 1 2 
331 3,43296713500001E-05 path: 1 2 2 1 0 
332 5,42408807330002E-06 path: 1 2 2 1 0 1 
333 1,57916488210001E-05 path: 1 2 2 1 0 0 
334 1,31139344557E-05 path: 1 2 2 1 0 2 
335 0,000626173205424002 path: 1 2 2 1 2 
336 9,89353664569923E-05 path: 1 2 2 1 2 1 
337 0,000288039674495041 path: 1 2 2 1 2 0 
338 0,000239198164471969 path: 1 2 2 1 2 2 
339 0,000265302648000001 path: 1 2 2 0 
340 0,000137692074312 path: 1 2 2 0 1 
341 2,17553477412961E-05 path: 1 2 2 0 1 1 
342 6,33383541835202E-05 path: 1 2 2 0 1 0 
343 5,25983723871842E-05 path: 1 2 2 0 1 2 
344 6,63256620000002E-06 path: 1 2 2 0 0 
345 1,0479454596E-06 path: 1 2 2 0 0 1 
346 3,05098045200001E-06 path: 1 2 2 0 0 0 
347 2,53364028840001E-06 path: 1 2 2 0 0 2 
348 0,000120978007488 path: 1 2 2 0 2 
349 1,91145251831041E-05 path: 1 2 2 0 2 1 
350 5,56498834444802E-05 path: 1 2 2 0 2 0 
351 4,62135988604162E-05 path: 1 2 2 0 2 2 
352 0,000818016498000003 path: 1 2 2 2 
353 0,000424550562462001 path: 1 2 2 2 1 
354 6,70789888689962E-05 path: 1 2 2 2 1 1 
355 0,000195293258732521 path: 1 2 2 2 1 0 
356 0,000162178314860485 path: 1 2 2 2 1 2 
357 2,04504124500001E-05 path: 1 2 2 2 0 
358 3,23116516710001E-06 path: 1 2 2 2 0 1 
359 9,40718972700003E-06 path: 1 2 2 2 0 0 
360 7,81205755590003E-06 path: 1 2 2 2 0 2 
361 0,000373015523088001 path: 1 2 2 2 2 
362 5,89364526479042E-05 path: 1 2 2 2 2 1 
363 0,000171587140620481 path: 1 2 2 2 2 0 
364 0,000142491929819616 path: 1 2 2 2 2 2 
365 0,057 path: 0 
366 0,054093 path: 0 1 
367 0,035917752 path: 0 1 1 
368 0,020078023368 path: 0 1 1 1 
369 0,010420494127992 path: 0 1 1 1 1 
370 0,00164643807222274 path: 0 1 1 1 1 1 
371 0,00479342729887632 path: 0 1 1 1 1 0 
372 0,00398062875689295 path: 0 1 1 1 1 2 
373 0,0005019505842 path: 0 1 1 1 0 
374 7,93081923036E-05 path: 0 1 1 1 0 1 
375 0,000230897268732 path: 0 1 1 1 0 0 
376 0,0001917451231644 path: 0 1 1 1 0 2 
377 0,009155578655808 path: 0 1 1 1 2 
378 0,00144658142761766 path: 0 1 1 1 2 1 
379 0,00421156618167168 path: 0 1 1 1 2 0 
380 0,00349743104651866 path: 0 1 1 1 2 2 
381 0,003879117216 path: 0 1 1 0 
382 0,002013261835104 path: 0 1 1 0 1 
383 0,000318095369946432 path: 0 1 1 0 1 1 
384 0,00092610044414784 path: 0 1 1 0 1 0 
385 0,000769066021009728 path: 0 1 1 0 1 2 
386 9,69779304E-05 path: 0 1 1 0 0 
387 1,53225130032E-05 path: 0 1 1 0 0 1 
388 4,4609847984E-05 path: 0 1 1 0 0 0 
389 3,70455694128E-05 path: 0 1 1 0 0 2 
390 0,001768877450496 path: 0 1 1 0 2 
391 0,000279482637178368 path: 0 1 1 0 2 1 
392 0,00081368362722816 path: 0 1 1 0 2 0 
